stripped_cell_line_name	DepMap_ID	CCLE_name	alias	disease	Name	Pathology	Site_Primary	Histology	Disease	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	tcga_code	TIPARP.log2TPM	ADAR.log2TPM	CYP1B1.log2TPM	ISG.score	ISG.score.group	TIPARP.log2CN	TIPARP.CRISPR.Avana	ADAR.CRISPR.Avana	RBN2397.GI50.geomean	chempartner.RBN011364.GI50_nm	chempartner.RBN011637.GI50_nm	chempartner.RBN011685.GI50_nm	ribon.RBN011364.GI50_nm	merged.RBN011364.GI50_nm	RBN011364.002.horizon.GI50_nm	RBN011595.001.horizon.GI50_nm	RBN011628.001.horizon.GI50_nm	RBN011364.002.horizon.IC50_nm	RBN011595.001.horizon.IC50_nm	RBN011628.001.horizon.IC50_nm	RBN011364.002.horizon.Delta.1um	RBN011595.001.horizon.Delta.1um	RBN011628.001.horizon.Delta.1um	RBN011364.002.horizon.EMax.1um.fixed	RBN011595.001.horizon.EMax.1um.fixed	RBN011628.001.horizon.EMax.1um.fixed	Response.group
A253	ACH-000740	A253_SALIVARY_GLAND		upper_aerodigestive	A-253	primary	salivary_gland	carcinoma		other	upper_aerodigestive	Salivary_Gland:Carcinoma	150.1577888	HNSC	5.14608493862	6.24126817733	3.8489984304	0.417635946565566	middle	1.4443981263	NA	NA	NA	NA	NA	NA	NA	NA	10000	5266.13958481825	10000	5.90049269644134	10000	0.359369817744091	15.7023326213888	18.5010867963921	24.0865727518081	74.5046998866005	71.667905149422	69.8444526145087	Responder
A549	ACH-000681	A549_LUNG		lung	A549	primary	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Others	159.4917529	LUAD	4.05050169745	5.94110631095	3.0478873294	-0.573918755162637	low	1.08972765367	-0.373835883354	-0.298331733171	NA	NA	NA	NA	NA	NA	10000	10000	2933.08263383957	10000	1112.74548678164	2907.69895289659	0	2.03571507693366	3.62877226223191e-06	100	90.1530314758821	92.4713241619673	Nonresponder
ACHN	ACH-000046	ACHN_KIDNEY		kidney	ACHN	metastasis	kidney	carcinoma	kidney_cancer	kidney	kidney	Kidney:Carcinoma	68.18873896	KIRC	4.31469652566	6.57939137064	4.464668267	0.219243244668666	middle	0.887417419048	NA	NA	NA	NA	NA	NA	NA	NA	1149.84354160372	858.001070078277	10000	1465.83990213982	1080.08879126639	4.3845717903114	38.5004480760233	52.1372237232664	24.3350325305241	56.4298991035095	42.7525457339043	74.4292312169638	Responder
BHY	ACH-000548	BHY_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	BHY	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	158.748475	HNSC	4.57470704642	6.60688633928	5.15461561133	3.06916399037416	high	1.03552694001	-0.839889352892	-1.1343890426	NA	NA	NA	NA	NA	NA	10000	10000	10000	5.92115307019864	33.1044940647989	1.48593970060086	28.6623591852625	36.1635358036866	34.6655747657212	64.2949405828769	62.3789910611551	63.6052160937344	Responder
CAKI1	ACH-000433	CAKI1_KIDNEY		kidney	Caki-1	metastasis	kidney	carcinoma	clear_cell_carcinoma	kidney	kidney	Kidney:Carcinoma	116.8955149	KIRC	4.7355221773	5.5734957155	3.71259578045	-0.0215267253498021	middle	1.0254200769	-0.348311268073	-0.227427485763	12	NA	NA	NA	NA	NA	93.566646976597	262.151227559206	11.9809274638036	138.849788434709	358.99649292107	2.98464583778411	99.4160908884832	88.8129271557141	46.244426369385	-4.09829768962514	6.03639523907691	48.2511138141087	Responder
CAL27	ACH-000832	CAL27_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	CAL 27	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	186.1487595	HNSC	6.32984117653	7.03815081027	5.48058827023	3.96142058380801	high	2.09692433412	-0.73038517774	-0.652124281185	9600	NA	NA	NA	21.9196163333081	21.9196163333081	8.69599598906053	26.7514147085358	1.18024247427687	9.72186479234261	33.9114089334613	1.07004895343697	74.9208353535509	71.636272542328	69.9430668585757	11.632592163486	9.99745302849675	17.2785859336393	Responder
CAL33	ACH-000518	CAL33_UPPER_AERODIGESTIVE_TRACT		upper_aerodigestive	CAL-33	primary	upper_aerodigestive_tract	carcinoma		upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	127.7052288	HNSC	4.15623479785	6.82043428408	3.14077865578	2.34874670656915	high	1.28748980708	-0.118431882277	-0.733750558405	NA	NA	NA	NA	NA	NA	10000	10000	10000	4.20401505644731	63.4657578351949	1.74033444868953	21.8524231114622	25.5679729977776	28.6547064142411	91.8729550102103	86.2564646139874	84.1425827156126	Responder
CALU1	ACH-000511	CALU1_LUNG		lung	Calu-1	metastasis	lung	carcinoma	lung_cancer	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	120.70541	LUSC	5.37538702683	6.59857363778	6.18229502503	0.666500339575267	high	1.0136429035	-0.784429715989	-0.230383955941	NA	NA	NA	NA	NA	NA	10000	506.188612210384	10000	3.97223499002465	10000	1.19839141766395	34.4081136585105	54.5679474589155	45.907208266926	62.8411121882748	41.6412547647859	52.8050944560024	Responder
CCK81	ACH-000963	CCK81_LARGE_INTESTINE		colorectal	CCK-81	primary	large_intestine	carcinoma	Colon Cancer	colorectal	colorectal	Colorectal:Carcinoma	689.3931011	COAD/READ	2.79908730607	6.07959144865	1.80735492206	-0.510053367337245	low	1.21387565482	-0.340272703168	-0.5177044883	NA	NA	NA	NA	NA	NA	1649.41888393346	3380.56497314053	887.289960759144	6023.1940250875	3068.20548701309	1087.49763971921	39.739636417199	0.0149926722918821	55.8591546713164	60.6408015353848	99.7628403494511	44.3270716634097	Nonresponder
CL11	ACH-000249	CL11_LARGE_INTESTINE		colorectal	CL-11	primary	large_intestine	carcinoma		colorectal	colorectal	Colorectal:Carcinoma	94.32458717	COAD/READ	4.35825558671	6.26021388677	1.44890095115	0.0671368341478338	middle	1.01945341259	NA	NA	NA	NA	NA	NA	NA	NA	10000	10000	10000	7430.44259586509	867.574997526724	1218.96019105099	1.35789242108331e-05	20.2753563108869	12.6022926785875	106.613234792905	93.1311946911952	95.0504361512392	Responder
