cell.line	compound	variable	value
LS-123	RBN010061-002	GI50_nm	3388.99789855062
LS-123	RBN011364-002	GI50_nm	10000
EBC-1	RBN010061-002	GI50_nm	4624.47154493604
EBC-1	RBN011364-002	GI50_nm	7.89410885322839
T3M-10	RBN010061-002	GI50_nm	10000
T3M-10	RBN011364-002	GI50_nm	23.7595123030679
SNU-175	RBN010061-002	GI50_nm	8864.85022849973
SNU-175	RBN011364-002	GI50_nm	10000
A253	RBN010061-002	GI50_nm	3731.82876804325
A253	RBN011364-002	GI50_nm	10000
A549	RBN010061-002	GI50_nm	10000
A549	RBN011364-002	GI50_nm	10000
KYSE-270	RBN010061-002	GI50_nm	3463.52298641581
KYSE-270	RBN011364-002	GI50_nm	10000
KYSE-450	RBN010061-002	GI50_nm	10000
KYSE-450	RBN011364-002	GI50_nm	10000
IM-95	RBN010061-002	GI50_nm	3951.6465939529
IM-95	RBN011364-002	GI50_nm	3904.89023005347
LoVo	RBN010061-002	GI50_nm	4088.88076339763
LoVo	RBN011364-002	GI50_nm	10000
LCLC-103H	RBN010061-002	GI50_nm	10000
LCLC-103H	RBN011364-002	GI50_nm	10000
KNS-81	RBN010061-002	GI50_nm	3758.6887714542
KNS-81	RBN011364-002	GI50_nm	10000
MDA-MB-436	RBN010061-002	GI50_nm	48.3182970839406
MDA-MB-436	RBN011364-002	GI50_nm	3701.43378090211
HCC1195	RBN010061-002	GI50_nm	10000
HCC1195	RBN011364-002	GI50_nm	320.191059398834
SNG-M	RBN010061-002	GI50_nm	10000
SNG-M	RBN011364-002	GI50_nm	10000
MDA-MB-231	RBN010061-002	GI50_nm	3835.09800478376
MDA-MB-231	RBN011364-002	GI50_nm	10000
LK-2	RBN010061-002	GI50_nm	5091.678494766
LK-2	RBN011364-002	GI50_nm	10000
HCC2218	RBN010061-002	GI50_nm	10000
HCC2218	RBN011364-002	GI50_nm	4536.27710786724
LC-1sq	RBN010061-002	GI50_nm	10000
LC-1sq	RBN011364-002	GI50_nm	7518.23400469817
FaDu	RBN010061-002	GI50_nm	1409.64810877943
FaDu	RBN011364-002	GI50_nm	725.281208394518
NCI-H596	RBN010061-002	GI50_nm	10000
NCI-H596	RBN011364-002	GI50_nm	8025.80531051841
Caki-1	RBN010061-002	GI50_nm	10000
Caki-1	RBN011364-002	GI50_nm	93.566646976597
ACHN	RBN010061-002	GI50_nm	10000
ACHN	RBN011364-002	GI50_nm	1149.84354160372
YD-8	RBN010061-002	GI50_nm	8590.90124357925
YD-8	RBN011364-002	GI50_nm	5549.64525170771
HCC1588	RBN010061-002	GI50_nm	3060.83691286256
HCC1588	RBN011364-002	GI50_nm	2510.21943782497
T47D	RBN010061-002	GI50_nm	2328.53271269572
T47D	RBN011364-002	GI50_nm	3930.68153173448
TE-8	RBN010061-002	GI50_nm	3849.77878601782
TE-8	RBN011364-002	GI50_nm	7.00346012527041
IA-LM	RBN010061-002	GI50_nm	10000
IA-LM	RBN011364-002	GI50_nm	101.933660159377
EN	RBN010061-002	GI50_nm	421.22325519475
EN	RBN011364-002	GI50_nm	611.613737163883
NCI-H1975	RBN010061-002	GI50_nm	10000
NCI-H1975	RBN011364-002	GI50_nm	407.084948622174
NCI-H1838	RBN010061-002	GI50_nm	3976.83926645645
NCI-H1838	RBN011364-002	GI50_nm	4259.07472935163
HCC-44	RBN010061-002	GI50_nm	10000
HCC-44	RBN011364-002	GI50_nm	10000
HCC1187	RBN010061-002	GI50_nm	555.549901420662
HCC1187	RBN011364-002	GI50_nm	203.823627470671
YH-13	RBN010061-002	GI50_nm	3833.95852047288
YH-13	RBN011364-002	GI50_nm	53.5072801092695
HCC38	RBN010061-002	GI50_nm	1772.86865865129
HCC38	RBN011364-002	GI50_nm	1171.57031670857
SNU-1033	RBN010061-002	GI50_nm	10000
SNU-1033	RBN011364-002	GI50_nm	8275.48554453013
Calu-1	RBN010061-002	GI50_nm	10000
Calu-1	RBN011364-002	GI50_nm	10000
PE-CA-PJ15	RBN010061-002	GI50_nm	10000
PE-CA-PJ15	RBN011364-002	GI50_nm	10000
BHY	RBN010061-002	GI50_nm	4221.80436917607
BHY	RBN011364-002	GI50_nm	10000
MDA-MB-468	RBN010061-002	GI50_nm	348.84333068585
MDA-MB-468	RBN011364-002	GI50_nm	87.5761471882078
CCK-81	RBN010061-002	GI50_nm	6844.21114533592
CCK-81	RBN011364-002	GI50_nm	1649.41888393346
HCC2279	RBN010061-002	GI50_nm	2599.53761248892
HCC2279	RBN011364-002	GI50_nm	165.094500090635
HCC1599	RBN010061-002	GI50_nm	3252.59074738495
HCC1599	RBN011364-002	GI50_nm	101.174557797362
COLO-680N	RBN010061-002	GI50_nm	7614.4365712483
COLO-680N	RBN011364-002	GI50_nm	21.0663494789961
SK-BR-3	RBN010061-002	GI50_nm	2417.92296463596
SK-BR-3	RBN011364-002	GI50_nm	318.80855913059
NCI-H810	RBN010061-002	GI50_nm	896.347345128136
NCI-H810	RBN011364-002	GI50_nm	3331.56761510737
Hs-578-T	RBN010061-002	GI50_nm	3904.29294767143
Hs-578-T	RBN011364-002	GI50_nm	199.823249458522
KURAMOCHI	RBN010061-002	GI50_nm	2404.78051173167
KURAMOCHI	RBN011364-002	GI50_nm	1238.1028154321
SNU-81	RBN010061-002	GI50_nm	2237.71011376469
SNU-81	RBN011364-002	GI50_nm	1406.01290012219
SNU-C4	RBN010061-002	GI50_nm	2979.51780555805
SNU-C4	RBN011364-002	GI50_nm	7958.67683274928
Detroit562	RBN010061-002	GI50_nm	6340.70470285201
Detroit562	RBN011364-002	GI50_nm	4257.46166172801
NUGC-4	RBN010061-002	GI50_nm	10000
NUGC-4	RBN011364-002	GI50_nm	4712.12378278579
KYSE-30	RBN010061-002	GI50_nm	3762.90424440935
KYSE-30	RBN011364-002	GI50_nm	10000
OV7	RBN010061-002	GI50_nm	2100.11476829874
OV7	RBN011364-002	GI50_nm	5079.84810547287
RCM-1	RBN010061-002	GI50_nm	10000
RCM-1	RBN011364-002	GI50_nm	10000
HT-29	RBN010061-002	GI50_nm	4189.25338538323
HT-29	RBN011364-002	GI50_nm	10000
SW48	RBN010061-002	GI50_nm	3722.31159484646
SW48	RBN011364-002	GI50_nm	3688.71080639742
JHOS-2	RBN010061-002	GI50_nm	5086.13482743246
JHOS-2	RBN011364-002	GI50_nm	2.54551089024285
OVCAR-8	RBN010061-002	GI50_nm	2220.9841722221
OVCAR-8	RBN011364-002	GI50_nm	4848.21848608362
OVISE	RBN010061-002	GI50_nm	3235.56250641759
OVISE	RBN011364-002	GI50_nm	176.082585880454
JHOS-4	RBN010061-002	GI50_nm	189.33667637327
JHOS-4	RBN011364-002	GI50_nm	1626.59291719002
HARA	RBN010061-002	GI50_nm	7097.67004328967
HARA	RBN011364-002	GI50_nm	8941.43021775027
SW620	RBN010061-002	GI50_nm	1296.9351133075
SW620	RBN011364-002	GI50_nm	608.191661107539
RKN	RBN010061-002	GI50_nm	10000
RKN	RBN011364-002	GI50_nm	10000
SH-10-TC	RBN010061-002	GI50_nm	10000
SH-10-TC	RBN011364-002	GI50_nm	10000
TOV-21G	RBN010061-002	GI50_nm	5417.58515962056
TOV-21G	RBN011364-002	GI50_nm	10000
YD-10B	RBN010061-002	GI50_nm	1539.39053444229
YD-10B	RBN011364-002	GI50_nm	35.7756912500379
LUDLU-1	RBN010061-002	GI50_nm	8320.24740167303
LUDLU-1	RBN011364-002	GI50_nm	595.180354233189
NCI-H2023	RBN010061-002	GI50_nm	5104.76114322482
NCI-H2023	RBN011364-002	GI50_nm	10000
HCC70	RBN010061-002	GI50_nm	1822.31279930593
HCC70	RBN011364-002	GI50_nm	10000
SW900	RBN010061-002	GI50_nm	10000
SW900	RBN011364-002	GI50_nm	91.5561843511352
RERF-LC-AI	RBN010061-002	GI50_nm	4635.02737608249
RERF-LC-AI	RBN011364-002	GI50_nm	1036.69342339847
HCC1143	RBN010061-002	GI50_nm	1893.70816934096
HCC1143	RBN011364-002	GI50_nm	8824.33764405551
NCI-H520	RBN010061-002	GI50_nm	893.338938793005
NCI-H520	RBN011364-002	GI50_nm	10000
YD-38	RBN010061-002	GI50_nm	10000
YD-38	RBN011364-002	GI50_nm	10000
SK-OV-3	RBN010061-002	GI50_nm	3350.31528130625
SK-OV-3	RBN011364-002	GI50_nm	9069.57259570159
SNU-620	RBN010061-002	GI50_nm	4044.16348861276
SNU-620	RBN011364-002	GI50_nm	3612.98976824842
EFE-184	RBN010061-002	GI50_nm	7981.17419724626
EFE-184	RBN011364-002	GI50_nm	26.4670412191679
EFO-27	RBN010061-002	GI50_nm	10000
EFO-27	RBN011364-002	GI50_nm	10000
EVSA-T	RBN010061-002	GI50_nm	10000
EVSA-T	RBN011364-002	GI50_nm	10000
HCT-116	RBN010061-002	GI50_nm	3139.4322772171
HCT-116	RBN011364-002	GI50_nm	3698.81321043207
HEC-1-B	RBN010061-002	GI50_nm	3601.9892733767
HEC-1-B	RBN011364-002	GI50_nm	14.7082843650784
LXF-289	RBN010061-002	GI50_nm	10000
LXF-289	RBN011364-002	GI50_nm	175.094898313542
HDQ-P1	RBN010061-002	GI50_nm	10000
HDQ-P1	RBN011364-002	GI50_nm	462.90978657401
U-87 MG	RBN010061-002	GI50_nm	3970.65672146817
U-87 MG	RBN011364-002	GI50_nm	10000
DBTRG-05MG	RBN010061-002	GI50_nm	10000
DBTRG-05MG	RBN011364-002	GI50_nm	10000
HCC-15	RBN010061-002	GI50_nm	10000
HCC-15	RBN011364-002	GI50_nm	3539.5145493799
NCI-H1437	RBN010061-002	GI50_nm	4677.07799301446
NCI-H1437	RBN011364-002	GI50_nm	21.3997122488836
NCI-H647	RBN010061-002	GI50_nm	4320.41134680747
NCI-H647	RBN011364-002	GI50_nm	196.464798243147
LOU-NH91	RBN010061-002	GI50_nm	10000
LOU-NH91	RBN011364-002	GI50_nm	10000
CAL-27	RBN010061-002	GI50_nm	662.864726825542
