genename	protein_desc	Accession_Number	Molecular_Weight	NCIH1373.AF1521.DMSO_SpC	NCIH1373.AF1521.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
A2M	Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	sp|P01023|A2MG_HUMAN	163 kDa	2	0	ncih1373_af1521.adpr.msbio	P01023	2	-2	-1	163	2.00613496932515	0.00613496932515337	0.00305810397553517	0.00497512437810945	A2M
AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	sp|Q2M2I8|AAK1_HUMAN	104 kDa	4	0	ncih1373_af1521.adpr.msbio	Q2M2I8	22848	-4	-1	104	4.00961538461539	0.00961538461538462	0.00239808153477218	0.00249376558603491	AAK1
ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	sp|Q8NE71|ABCF1_HUMAN	96 kDa	7	4	ncih1373_af1521.adpr.msbio	Q8NE71	23	-3	-0.428571428571429	96	7.01041666666667	4.01041666666667	0.572065378900446	0.572039942938659	ABCF1
ACACA	Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA PE=1 SV=2	sp|Q13085|ACACA_HUMAN	266 kDa	0	4	ncih1373_af1521.adpr.msbio	Q13085	31	4	1	266	0.0037593984962406	4.00375939849624	1065	401	ACACA
ACAD9	"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Homo sapiens GN=ACAD9 PE=1 SV=1"	sp|Q9H845|ACAD9_HUMAN	69 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9H845	28976	-2	-1	69	2.01449275362319	0.0144927536231884	0.00719424460431655	0.00497512437810945	ACAD9
ACADVL	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1"	sp|P49748|ACADV_HUMAN	70 kDa	30	22	ncih1373_af1521.adpr.msbio	P49748	37	-8	-0.266666666666667	70	30.0142857142857	22.0142857142857	0.733460257020466	0.733422192602466	ACADVL
ACBD3	Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4	sp|Q9H3P7|GCP60_HUMAN	61 kDa	4	5	ncih1373_af1521.adpr.msbio	Q9H3P7	64746	1	0.2	61	4.01639344262295	5.01639344262295	1.24897959183673	1.24937655860349	ACBD3
ACIN1	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2	sp|Q9UKV3|ACINU_HUMAN	152 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9UKV3	22985	-2	-1	152	2.00657894736842	0.00657894736842105	0.00327868852459016	0.00497512437810945	ACIN1
ACSL4	Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 PE=1 SV=2	sp|O60488|ACSL4_HUMAN	79 kDa	36	27	ncih1373_af1521.adpr.msbio	O60488	2182	-9	-0.25	79	36.0126582278481	27.0126582278481	0.750087873462214	0.750069425159678	ACSL4
ACTC1	"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1"	sp|P68032|ACTC_HUMAN (+1)	42 kDa	18	0	ncih1373_af1521.adpr.msbio	P68032	70	-18	-1	42	18.0238095238095	0.0238095238095238	0.00132100396301189	0.000555247084952804	ACTC1
ACTG1	"Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1"	sp|P63261|ACTG_HUMAN	42 kDa	70	81	ncih1373_af1521.adpr.msbio	P63261	71	11	0.135802469135802	42	70.0238095238095	81.0238095238095	1.15708942536552	1.1571204113698	ACTG1
ACTN4	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	sp|O43707|ACTN4_HUMAN	105 kDa	5	5	ncih1373_af1521.adpr.msbio	O43707	81	0	0	105	5.00952380952381	5.00952380952381	1	1	ACTN4
ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	sp|P55265|DSRAD_HUMAN	136 kDa	12	0	ncih1373_af1521.adpr.msbio	P55265	103	-12	-1	136	12.0073529411765	0.00735294117647059	0.000612369871402327	0.000832639467110741	ADAR
ADD1	Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2	sp|P35611|ADDA_HUMAN	81 kDa	4	20	ncih1373_af1521.adpr.msbio	P35611	118	16	0.8	81	4.01234567901235	20.0123456790123	4.98769230769231	4.99002493765586	ADD1
ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	sp|Q9UEY8|ADDG_HUMAN	79 kDa	0	15	ncih1373_af1521.adpr.msbio	Q9UEY8	120	15	1	79	0.0126582278481013	15.0126582278481	1186	1501	ADD3
AFAP1	Actin filament-associated protein 1 OS=Homo sapiens GN=AFAP1 PE=1 SV=2	sp|Q8N556|AFAP1_HUMAN	81 kDa	0	3	ncih1373_af1521.adpr.msbio	Q8N556	60312	3	1	81	0.0123456790123457	3.01234567901235	244	301	AFAP1
AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1"	sp|O00116|ADAS_HUMAN	73 kDa	31	27	ncih1373_af1521.adpr.msbio	O00116	8540	-4	-0.129032258064516	73	31.013698630137	27.013698630137	0.871024734982332	0.871009351821993	AGPS
AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	sp|Q09666|AHNK_HUMAN	629 kDa	315	217	ncih1373_af1521.adpr.msbio	Q09666	79026	-98	-0.311111111111111	629	315.001589825119	217.001589825119	0.688890459078613	0.688898765118568	AHNAK
AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	sp|Q8IVF2|AHNK2_HUMAN	617 kDa	37	24	ncih1373_af1521.adpr.msbio	Q8IVF2	113146	-13	-0.351351351351351	617	37.001620745543	24.001620745543	0.648664038545773	0.648743582815455	AHNAK2
AHSG	Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	sp|P02765|FETUA_HUMAN	39 kDa	3	0	ncih1373_af1521.adpr.msbio	P02765	197	-3	-1	39	3.02564102564103	0.0256410256410256	0.00847457627118644	0.00332225913621263	AHSG
AKAP12	A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4	sp|Q02952|AKA12_HUMAN	191 kDa	17	7	ncih1373_af1521.adpr.msbio	Q02952	9590	-10	-0.588235294117647	191	17.0052356020942	7.00523560209424	0.411945812807882	0.412110523221634	AKAP12
ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	sp|P54886|P5CS_HUMAN	87 kDa	2	0	ncih1373_af1521.adpr.msbio	P54886	5832	-2	-1	87	2.01149425287356	0.0114942528735632	0.00571428571428571	0.00497512437810945	ALDH18A1
ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	sp|P04075|ALDOA_HUMAN	39 kDa	4	0	ncih1373_af1521.adpr.msbio	P04075	226	-4	-1	39	4.02564102564103	0.0256410256410256	0.00636942675159236	0.00249376558603491	ALDOA
ALYREF	THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3	sp|Q86V81|THOC4_HUMAN	27 kDa	4	0	ncih1373_af1521.adpr.msbio	Q86V81	10189	-4	-1	27	4.03703703703704	0.037037037037037	0.0091743119266055	0.00249376558603491	ALYREF
ANAPC1	Anaphase-promoting complex subunit 1 OS=Homo sapiens GN=ANAPC1 PE=1 SV=1	sp|Q9H1A4|APC1_HUMAN	217 kDa	5	0	ncih1373_af1521.adpr.msbio	Q9H1A4	64682	-5	-1	217	5.00460829493088	0.00460829493087558	0.000920810313075506	0.00199600798403194	ANAPC1
ANAPC7	Anaphase-promoting complex subunit 7 OS=Homo sapiens GN=ANAPC7 PE=1 SV=4	sp|Q9UJX3|APC7_HUMAN	67 kDa	3	0	ncih1373_af1521.adpr.msbio	Q9UJX3	51434	-3	-1	67	3.01492537313433	0.0149253731343284	0.00495049504950495	0.00332225913621263	ANAPC7
