genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.DMSO_SpC	SKMES1.AF1521.RBN011628_1um_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	sp|Q8NE71|ABCF1_HUMAN	96 kDa	44	53	skmes_adpr.msbio	Q8NE71	23	9	0.169811320754717	96	44.0104166666667	53.0104166666667	1.20449704142012	1.20449897750511	ABCF1
ABLIM3	Actin-binding LIM protein 3 OS=Homo sapiens GN=ABLIM3 PE=1 SV=3	sp|O94929|ABLM3_HUMAN	78 kDa	0	2	skmes_adpr.msbio	O94929	22885	2	1	78	0.0128205128205128	2.01282051282051	157	201	ABLIM3
ABT1	Activator of basal transcription 1 OS=Homo sapiens GN=ABT1 PE=1 SV=1	sp|Q9ULW3|ABT1_HUMAN	31 kDa	3	3	skmes_adpr.msbio	Q9ULW3	29777	0	0	31	3.03225806451613	3.03225806451613	1	1	ABT1
ACACA	Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA PE=1 SV=2	sp|Q13085|ACACA_HUMAN	266 kDa	4	0	skmes_adpr.msbio	Q13085	31	-4	-1	266	4.00375939849624	0.0037593984962406	0.000938967136150235	0.00249376558603491	ACACA
ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	sp|P49748|ACADV_HUMAN	70 kDa	15	17	skmes_adpr.msbio	P49748	37	2	0.117647058823529	70	15.0142857142857	17.0142857142857	1.13320647002854	1.13324450366422	ACADVL
ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	sp|O95573|ACSL3_HUMAN	80 kDa	7	11	skmes_adpr.msbio	O95573	2181	4	0.363636363636364	80	7.0125	11.0125	1.57040998217469	1.57061340941512	ACSL3
ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	sp|P63261|ACTG_HUMAN	42 kDa	39	183	skmes_adpr.msbio	P63261	71	144	0.786885245901639	42	39.0238095238095	183.02380952381	4.69005491153142	4.69136118943861	ACTG1
ACTR2	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	sp|P61160|ARP2_HUMAN	45 kDa	0	3	skmes_adpr.msbio	P61160	10097	3	1	45	0.0222222222222222	3.02222222222222	136	301	ACTR2
ADD1	Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2	sp|P35611|ADDA_HUMAN	81 kDa	28	46	skmes_adpr.msbio	P35611	118	18	0.391304347826087	81	28.0123456790123	46.0123456790123	1.64257382106655	1.64262763298822	ADD1
ADD2	Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3	sp|P35612|ADDB_HUMAN	81 kDa	28	25	skmes_adpr.msbio	P35612	119	-3	-0.107142857142857	81	28.0123456790123	25.0123456790123	0.892904363155575	0.892895394501964	ADD2
ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	sp|Q9UEY8|ADDG_HUMAN	79 kDa	11	17	skmes_adpr.msbio	Q9UEY8	120	6	0.352941176470588	79	11.0126582278481	17.0126582278481	1.5448275862069	1.5449591280654	ADD3
ADNP	Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1	sp|Q9H2P0|ADNP_HUMAN	124 kDa	0	4	skmes_adpr.msbio	Q9H2P0	23394	4	1	124	0.00806451612903226	4.00806451612903	497	401	ADNP
ADPGK	ADP-dependent glucokinase OS=Homo sapiens GN=ADPGK PE=1 SV=1	sp|Q9BRR6|ADPGK_HUMAN	54 kDa	0	3	skmes_adpr.msbio	Q9BRR6	83440	3	1	54	0.0185185185185185	3.01851851851852	163	301	ADPGK
ADRM1	Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens GN=ADRM1 PE=1 SV=2	sp|Q16186|ADRM1_HUMAN	42 kDa	0	2	skmes_adpr.msbio	Q16186	11047	2	1	42	0.0238095238095238	2.02380952380952	85	201	ADRM1
AFF4	AF4/FMR2 family member 4 OS=Homo sapiens GN=AFF4 PE=1 SV=1	sp|Q9UHB7|AFF4_HUMAN	127 kDa	16	12	skmes_adpr.msbio	Q9UHB7	27125	-4	-0.25	127	16.007874015748	12.007874015748	0.750122970978849	0.750156152404747	AFF4
AGAP1	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=AGAP1 PE=1 SV=4	sp|Q9UPQ3|AGAP1_HUMAN	94 kDa	2	0	skmes_adpr.msbio	Q9UPQ3	116987	-2	-1	94	2.01063829787234	0.0106382978723404	0.00529100529100529	0.00497512437810945	AGAP1
AGFG1	Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens GN=AGFG1 PE=1 SV=2	sp|P52594|AGFG1_HUMAN	58 kDa	7	6	skmes_adpr.msbio	P52594	3267	-1	-0.142857142857143	58	7.01724137931035	6.01724137931035	0.857493857493858	0.85734664764622	AGFG1
AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1	sp|O00116|ADAS_HUMAN	73 kDa	17	16	skmes_adpr.msbio	O00116	8540	-1	-0.0588235294117647	73	17.013698630137	16.013698630137	0.94122383252818	0.941211052322163	AGPS
AHCY	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	sp|P23526|SAHH_HUMAN	48 kDa	0	4	skmes_adpr.msbio	P23526	191	4	1	48	0.0208333333333333	4.02083333333333	193	401	AHCY
AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	sp|Q09666|AHNK_HUMAN	629 kDa	68	160	skmes_adpr.msbio	Q09666	79026	92	0.575	629	68.0015898251192	160.001589825119	2.35290954574147	2.35274224378768	AHNAK
