genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.MG132.DMSO_SpC	SKMES1.AF1521.MG132.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	sp|Q2M2I8|AAK1_HUMAN	104 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q2M2I8	22848	2	1	104	0.00961538461538462	2.00961538461538	209	201	AAK1
AARS	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	sp|P49588|SYAC_HUMAN	107 kDa	8	0	skmes_mg132_af1521.adpr.msbio	P49588	16	-8	-1	107	8.00934579439252	0.00934579439252336	0.00116686114352392	0.00124843945068664	AARS1
ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	sp|Q8NE71|ABCF1_HUMAN	96 kDa	15	11	skmes_mg132_af1521.adpr.msbio	Q8NE71	23	-4	-0.266666666666667	96	15.0104166666667	11.0104166666667	0.73351839000694	0.733510992671552	ABCF1
ACACA	Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA PE=1 SV=2	sp|Q13085|ACACA_HUMAN	266 kDa	13	0	skmes_mg132_af1521.adpr.msbio	Q13085	31	-13	-1	266	13.0037593984962	0.0037593984962406	0.000289100896212778	0.000768639508070715	ACACA
ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	sp|P49748|ACADV_HUMAN	70 kDa	10	3	skmes_mg132_af1521.adpr.msbio	P49748	37	-7	-0.7	70	10.0142857142857	3.01428571428571	0.300998573466476	0.300699300699301	ACADVL
ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	sp|P53396|ACLY_HUMAN	121 kDa	8	0	skmes_mg132_af1521.adpr.msbio	P53396	47	-8	-1	121	8.00826446280992	0.00826446280991736	0.00103199174406605	0.00124843945068664	ACLY
ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	sp|O95573|ACSL3_HUMAN	80 kDa	2	3	skmes_mg132_af1521.adpr.msbio	O95573	2181	1	0.333333333333333	80	2.0125	3.0125	1.49689440993789	1.49751243781095	ACSL3
ACTG1	Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1	sp|P63261|ACTG_HUMAN	42 kDa	99	28	skmes_mg132_af1521.adpr.msbio	P63261	71	-71	-0.717171717171717	42	99.0238095238095	28.0238095238095	0.283000721327242	0.282900717099283	ACTG1
ACTN1	Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	sp|P12814|ACTN1_HUMAN	103 kDa	11	0	skmes_mg132_af1521.adpr.msbio	P12814	87	-11	-1	103	11.0097087378641	0.00970873786407767	0.000881834215167548	0.000908265213442325	ACTN1
ACTN4	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	sp|O43707|ACTN4_HUMAN	105 kDa	9	0	skmes_mg132_af1521.adpr.msbio	O43707	81	-9	-1	105	9.00952380952381	0.00952380952380952	0.00105708245243129	0.00110987791342952	ACTN4
