genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.PARP14m3.DMSO_SpC	SKMES1.PARP14m3.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	sp|Q2M2I8|AAK1_HUMAN	104 kDa	8	5	skmes_parp14m3.adpr.msbio	Q2M2I8	22848	-3	-0.375	104	8.00961538461539	5.00961538461539	0.625450180072029	0.625468164794007	AAK1
ABCA13	ATP-binding cassette sub-family A member 13 OS=Homo sapiens GN=ABCA13 PE=2 SV=3	sp|Q86UQ4|ABCAD_HUMAN	576 kDa	2	2	skmes_parp14m3.adpr.msbio	Q86UQ4	154664	0	0	576	2.00173611111111	2.00173611111111	1	1	ABCA13
ACOT13	Acyl-coenzyme A thioesterase 13 OS=Homo sapiens GN=ACOT13 PE=1 SV=1	sp|Q9NPJ3|ACO13_HUMAN	15 kDa	5	7	skmes_parp14m3.adpr.msbio	Q9NPJ3	55856	2	0.285714285714286	15	5.06666666666667	7.06666666666667	1.39473684210526	1.39920159680639	ACOT13
ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	sp|O95573|ACSL3_HUMAN	80 kDa	14	13	skmes_parp14m3.adpr.msbio	O95573	2181	-1	-0.0714285714285714	80	14.0125	13.0125	0.928635147190009	0.928622412562455	ACSL3
ACTB	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	sp|P60709|ACTB_HUMAN (+1)	42 kDa	51	31	skmes_parp14m3.adpr.msbio	P60709	60	-20	-0.392156862745098	42	51.0238095238095	31.0238095238095	0.608026131591227	0.607920015683199	ACTB
AFG3L2	AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2	sp|Q9Y4W6|AFG32_HUMAN	89 kDa	3	0	skmes_parp14m3.adpr.msbio	Q9Y4W6	10939	-3	-1	89	3.01123595505618	0.0112359550561798	0.00373134328358209	0.00332225913621263	AFG3L2
AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	sp|Q09666|AHNK_HUMAN	629 kDa	71	34	skmes_parp14m3.adpr.msbio	Q09666	79026	-37	-0.52112676056338	629	71.0015898251192	34.0015898251192	0.478884908195253	0.478946627235601	AHNAK
AHNAK2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	sp|Q8IVF2|AHNK2_HUMAN	617 kDa	5	0	skmes_parp14m3.adpr.msbio	Q8IVF2	113146	-5	-1	617	5.00162074554295	0.00162074554294976	0.000324044069993519	0.00199600798403194	AHNAK2
AHR	Aryl hydrocarbon receptor OS=Homo sapiens GN=AHR PE=1 SV=2	sp|P35869|AHR_HUMAN	96 kDa	17	0	skmes_parp14m3.adpr.msbio	P35869	196	-17	-1	96	17.0104166666667	0.0104166666666667	0.000612369871402327	0.000587889476778366	AHR
AIFM1	Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1	sp|O95831|AIFM1_HUMAN	67 kDa	14	13	skmes_parp14m3.adpr.msbio	O95831	9131	-1	-0.0714285714285714	67	14.0149253731343	13.0149253731343	0.928647497337593	0.928622412562455	AIFM1
AKAP9	A-kinase anchor protein 9 OS=Homo sapiens GN=AKAP9 PE=1 SV=3	sp|Q99996|AKAP9_HUMAN	454 kDa	4	0	skmes_parp14m3.adpr.msbio	Q99996	10142	-4	-1	454	4.00220264317181	0.00220264317180617	0.000550357732526142	0.00249376558603491	AKAP9
