genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.DMSO_SpC	SKMES1.AF1521.Dox_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	sp|Q2M2I8|AAK1_HUMAN	104 kDa	4	3	skmes_dox.adpr.msbio	Q2M2I8	22848	-1	-0.25	104	4.00961538461539	3.00961538461538	0.750599520383693	0.750623441396509	AAK1
ABCC5	Multidrug resistance-associated protein 5 OS=Homo sapiens GN=ABCC5 PE=1 SV=2	sp|O15440|MRP5_HUMAN	161 kDa	0	2	skmes_dox.adpr.msbio	O15440	10057	2	1	161	0.0062111801242236	2.00621118012422	323	201	ABCC5
ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	sp|Q8NE71|ABCF1_HUMAN	96 kDa	70	76	skmes_dox.adpr.msbio	Q8NE71	23	6	0.0789473684210526	96	70.0104166666667	76.0104166666667	1.08570153251004	1.08570204256535	ABCF1
ABLIM3	Actin-binding LIM protein 3 OS=Homo sapiens GN=ABLIM3 PE=1 SV=3	sp|O94929|ABLM3_HUMAN	78 kDa	4	0	skmes_dox.adpr.msbio	O94929	22885	-4	-1	78	4.01282051282051	0.0128205128205128	0.00319488817891374	0.00249376558603491	ABLIM3
ACACA	Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA PE=1 SV=2	sp|Q13085|ACACA_HUMAN	266 kDa	3	0	skmes_dox.adpr.msbio	Q13085	31	-3	-1	266	3.00375939849624	0.0037593984962406	0.00125156445556946	0.00332225913621263	ACACA
ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	sp|P49748|ACADV_HUMAN	70 kDa	14	20	skmes_dox.adpr.msbio	P49748	37	6	0.3	70	14.0142857142857	20.0142857142857	1.42813455657492	1.42826552462527	ACADVL
ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	sp|O95573|ACSL3_HUMAN	80 kDa	11	7	skmes_dox.adpr.msbio	O95573	2181	-4	-0.363636363636364	80	11.0125	7.0125	0.63677639046538	0.63669391462307	ACSL3
ACTB	Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1	sp|P60709|ACTB_HUMAN	42 kDa	36	35	skmes_dox.adpr.msbio	P60709	60	-1	-0.0277777777777778	42	36.0238095238095	35.0238095238095	0.972240581625909	0.972229936128853	ACTB
ADAR	Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	sp|P55265|DSRAD_HUMAN	136 kDa	98	2	skmes_dox.adpr.msbio	P55265	103	-96	-0.979591836734694	136	98.0073529411765	2.00735294117647	0.020481656538375	0.0205081114172023	ADAR
ADD1	Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2	sp|P35611|ADDA_HUMAN	81 kDa	37	39	skmes_dox.adpr.msbio	P35611	118	2	0.0512820512820513	81	37.0123456790123	39.0123456790123	1.05403602401601	1.05403944879762	ADD1
ADD2	Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3	sp|P35612|ADDB_HUMAN	81 kDa	26	33	skmes_dox.adpr.msbio	P35612	119	7	0.212121212121212	81	26.0123456790123	33.0123456790123	1.26910299003322	1.26912725874664	ADD2
ADD3	Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1	sp|Q9UEY8|ADDG_HUMAN	79 kDa	21	20	skmes_dox.adpr.msbio	Q9UEY8	120	-1	-0.0476190476190476	79	21.0126582278481	20.0126582278481	0.952409638554217	0.952403617325083	ADD3
AEBP1	Adipocyte enhancer-binding protein 1 OS=Homo sapiens GN=AEBP1 PE=1 SV=1	sp|Q8IUX7|AEBP1_HUMAN	131 kDa	4	4	skmes_dox.adpr.msbio	Q8IUX7	165	0	0	131	4.00763358778626	4.00763358778626	1	1	AEBP1
AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1	sp|O00116|ADAS_HUMAN	73 kDa	23	25	skmes_dox.adpr.msbio	O00116	8540	2	0.08	73	23.013698630137	25.013698630137	1.08690476190476	1.08691873098653	AGPS
AHCY	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	sp|P23526|SAHH_HUMAN	48 kDa	0	2	skmes_dox.adpr.msbio	P23526	191	2	1	48	0.0208333333333333	2.02083333333333	97	201	AHCY
AHNAK	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	sp|Q09666|AHNK_HUMAN	629 kDa	38	29	skmes_dox.adpr.msbio	Q09666	79026	-9	-0.236842105263158	629	38.0015898251192	29.0015898251192	0.763167803204619	0.763220205209156	AHNAK
AHR	Aryl hydrocarbon receptor OS=Homo sapiens GN=AHR PE=1 SV=2	sp|P35869|AHR_HUMAN	96 kDa	7	17	skmes_dox.adpr.msbio	P35869	196	10	0.588235294117647	96	7.01041666666667	17.0104166666667	2.42644873699851	2.4265335235378	AHR
AIDA	Axin interactor, dorsalization-associated protein OS=Homo sapiens GN=AIDA PE=1 SV=1	sp|Q96BJ3|AIDA_HUMAN	35 kDa	3	5	skmes_dox.adpr.msbio	Q96BJ3	64853	2	0.4	35	3.02857142857143	5.02857142857143	1.66037735849057	1.66445182724253	AIDA
AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2	sp|Q12904|AIMP1_HUMAN	34 kDa	0	2	skmes_dox.adpr.msbio	Q12904	9255	2	1	34	0.0294117647058824	2.02941176470588	69	201	AIMP1
AKAP13	A-kinase anchor protein 13 OS=Homo sapiens GN=AKAP13 PE=1 SV=2	sp|Q12802|AKP13_HUMAN	308 kDa	29	16	skmes_dox.adpr.msbio	Q12802	11214	-13	-0.448275862068966	308	29.0032467532468	16.0032467532468	0.551774319937311	0.551878662530162	AKAP13
AKAP9	A-kinase anchor protein 9 OS=Homo sapiens GN=AKAP9 PE=1 SV=3	sp|Q99996|AKAP9_HUMAN	454 kDa	0	2	skmes_dox.adpr.msbio	Q99996	10142	2	1	454	0.00220264317180617	2.00220264317181	909	201	AKAP9
ALCAM	CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2	sp|Q13740|CD166_HUMAN	65 kDa	4	0	skmes_dox.adpr.msbio	Q13740	214	-4	-1	65	4.01538461538462	0.0153846153846154	0.00383141762452107	0.00249376558603491	ALCAM
ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2	sp|P54886|P5CS_HUMAN	87 kDa	0	2	skmes_dox.adpr.msbio	P54886	5832	2	1	87	0.0114942528735632	2.01149425287356	175	201	ALDH18A1
ALDOA	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	sp|P04075|ALDOA_HUMAN	39 kDa	2	4	skmes_dox.adpr.msbio	P04075	226	2	0.5	39	2.02564102564103	4.02564102564103	1.9873417721519	1.99502487562189	ALDOA
ALKBH5	RNA demethylase ALKBH5 OS=Homo sapiens GN=ALKBH5 PE=1 SV=2	sp|Q6P6C2|ALKB5_HUMAN	44 kDa	2	2	skmes_dox.adpr.msbio	Q6P6C2	54890	0	0	44	2.02272727272727	2.02272727272727	1	1	ALKBH5
ALOX12B	Arachidonate 12-lipoxygenase, 12R-type OS=Homo sapiens GN=ALOX12B PE=1 SV=1	sp|O75342|LX12B_HUMAN	80 kDa	5	10	skmes_dox.adpr.msbio	O75342	242	5	0.5	80	5.0125	10.0125	1.99750623441396	1.99800399201597	ALOX12B
AMZ2	Archaemetzincin-2 OS=Homo sapiens GN=AMZ2 PE=1 SV=2	sp|Q86W34|AMZ2_HUMAN	41 kDa	0	3	skmes_dox.adpr.msbio	Q86W34	51321	3	1	41	0.024390243902439	3.02439024390244	124	301	AMZ2
ANKHD1	Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1	sp|Q8IWZ3|ANKH1_HUMAN	269 kDa	0	2	skmes_dox.adpr.msbio	Q8IWZ3	54882	2	1	269	0.00371747211895911	2.00371747211896	539	201	ANKHD1
ANLN	Anillin OS=Homo sapiens GN=ANLN PE=1 SV=2	sp|Q9NQW6|ANLN_HUMAN	124 kDa	7	8	skmes_dox.adpr.msbio	Q9NQW6	54443	1	0.125	124	7.00806451612903	8.00806451612903	1.14269275028769	1.14265335235378	ANLN
ANXA1	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	sp|P04083|ANXA1_HUMAN	39 kDa	11	5	skmes_dox.adpr.msbio	P04083	301	-6	-0.545454545454545	39	11.025641025641	5.02564102564103	0.455813953488372	0.455040871934605	ANXA1
ANXA2	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	sp|P07355|ANXA2_HUMAN	39 kDa	32	38	skmes_dox.adpr.msbio	P07355	302	6	0.157894736842105	39	32.025641025641	38.025641025641	1.18734987990392	1.18744142455483	ANXA2
ANXA7	Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3	sp|P20073|ANXA7_HUMAN	53 kDa	0	2	skmes_dox.adpr.msbio	P20073	310	2	1	53	0.0188679245283019	2.0188679245283	107	201	ANXA7
AP1B1	AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2	sp|Q10567|AP1B1_HUMAN	105 kDa	16	19	skmes_dox.adpr.msbio	Q10567	162	3	0.157894736842105	105	16.0095238095238	19.0095238095238	1.18738845925045	1.18738288569644	AP1B1
AP1G1	AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5	sp|O43747|AP1G1_HUMAN	91 kDa	0	3	skmes_dox.adpr.msbio	O43747	164	3	1	91	0.010989010989011	3.01098901098901	274	301	AP1G1
AP2A1	AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3	sp|O95782|AP2A1_HUMAN	108 kDa	22	31	skmes_dox.adpr.msbio	O95782	160	9	0.290322580645161	108	22.0092592592593	31.0092592592593	1.40891880521666	1.4089050431622	AP2A1
AP2B1	AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	sp|P63010|AP2B1_HUMAN	105 kDa	23	24	skmes_dox.adpr.msbio	P63010	163	1	0.0416666666666667	105	23.0095238095238	24.0095238095238	1.04346026490066	1.04345936549326	AP2B1
AP3B1	AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3	sp|O00203|AP3B1_HUMAN	121 kDa	26	25	skmes_dox.adpr.msbio	O00203	8546	-1	-0.0384615384615385	121	26.0082644628099	25.0082644628099	0.96155068319034	0.961553248750481	AP3B1
AP3D1	AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1	sp|O14617|AP3D1_HUMAN	130 kDa	31	24	skmes_dox.adpr.msbio	O14617	8943	-7	-0.225806451612903	130	31.0076923076923	24.0076923076923	0.77424956586455	0.774266365688488	AP3D1
AP3S1	AP-3 complex subunit sigma-1 OS=Homo sapiens GN=AP3S1 PE=1 SV=1	sp|Q92572|AP3S1_HUMAN	22 kDa	8	9	skmes_dox.adpr.msbio	Q92572	1176	1	0.111111111111111	22	8.04545454545454	9.04545454545454	1.12429378531073	1.12484394506866	AP3S1
ARAP1	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3	sp|Q96P48|ARAP1_HUMAN	162 kDa	0	3	skmes_dox.adpr.msbio	Q96P48	116985	3	1	162	0.00617283950617284	3.00617283950617	487	301	ARAP1
ARAP3	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=ARAP3 PE=1 SV=1	sp|Q8WWN8|ARAP3_HUMAN	170 kDa	0	3	skmes_dox.adpr.msbio	Q8WWN8	64411	3	1	170	0.00588235294117647	3.00588235294118	511	301	ARAP3
ARCN1	Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	sp|P48444|COPD_HUMAN	57 kDa	0	2	skmes_dox.adpr.msbio	P48444	372	2	1	57	0.0175438596491228	2.01754385964912	115	201	ARCN1
ARF1	ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2	sp|P84077|ARF1_HUMAN	21 kDa	11	7	skmes_dox.adpr.msbio	P84077	375	-4	-0.363636363636364	21	11.047619047619	7.04761904761905	0.637931034482759	0.63669391462307	ARF1
ARF4	ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3	sp|P18085|ARF4_HUMAN	21 kDa	3	3	skmes_dox.adpr.msbio	P18085	378	0	0	21	3.04761904761905	3.04761904761905	1	1	ARF4
ARF6	ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2	sp|P62330|ARF6_HUMAN	20 kDa	4	3	skmes_dox.adpr.msbio	P62330	382	-1	-0.25	20	4.05	3.05	0.753086419753086	0.750623441396509	ARF6
ARG1	Arginase-1 OS=Homo sapiens GN=ARG1 PE=1 SV=2	sp|P05089|ARGI1_HUMAN	35 kDa	7	12	skmes_dox.adpr.msbio	P05089	383	5	0.416666666666667	35	7.02857142857143	12.0285714285714	1.71138211382114	1.7132667617689	ARG1
ARHGAP5	Rho GTPase-activating protein 5 OS=Homo sapiens GN=ARHGAP5 PE=1 SV=2	sp|Q13017|RHG05_HUMAN	172 kDa	4	6	skmes_dox.adpr.msbio	Q13017	394	2	0.333333333333333	172	4.00581395348837	6.00581395348837	1.49927431059507	1.49875311720698	ARHGAP5
ARHGEF28	Rho guanine nucleotide exchange factor 28 OS=Homo sapiens GN=ARHGEF28 PE=1 SV=3	sp|Q8N1W1|ARG28_HUMAN	192 kDa	9	6	skmes_dox.adpr.msbio	Q8N1W1	64283	-3	-0.333333333333333	192	9.00520833333333	6.00520833333333	0.66685945633314	0.667036625971143	ARHGEF28
ASCC3	Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3	sp|Q8N3C0|ASCC3_HUMAN	251 kDa	9	14	skmes_dox.adpr.msbio	Q8N3C0	10973	5	0.357142857142857	251	9.00398406374502	14.003984063745	1.55530973451327	1.55493895671476	ASCC3
ASPH	Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3	sp|Q12797|ASPH_HUMAN	86 kDa	6	7	skmes_dox.adpr.msbio	Q12797	444	1	0.142857142857143	86	6.01162790697674	7.01162790697674	1.16634429400387	1.16638935108153	ASPH
ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3	sp|P13637|AT1A3_HUMAN	112 kDa	0	3	skmes_dox.adpr.msbio	P13637	478	3	1	112	0.00892857142857143	3.00892857142857	337	301	ATP1A3
ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=1 SV=1	sp|P05026|AT1B1_HUMAN	35 kDa	0	2	skmes_dox.adpr.msbio	P05026	481	2	1	35	0.0285714285714286	2.02857142857143	71	201	ATP1B1
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1	sp|P16615|AT2A2_HUMAN	115 kDa	0	3	skmes_dox.adpr.msbio	P16615	488	3	1	115	0.00869565217391304	3.00869565217391	346	301	ATP2A2
ATP5A1	ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1	sp|P25705|ATPA_HUMAN	60 kDa	4	0	skmes_dox.adpr.msbio	P25705	498	-4	-1	60	4.01666666666667	0.0166666666666667	0.004149377593361	0.00249376558603491	ATP5F1A
ATP5C1	ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1	sp|P36542|ATPG_HUMAN	33 kDa	4	4	skmes_dox.adpr.msbio	P36542	509	0	0	33	4.03030303030303	4.03030303030303	1	1	ATP5F1C
ATP5F1	ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2	sp|P24539|AT5F1_HUMAN	29 kDa	0	2	skmes_dox.adpr.msbio	P24539	515	2	1	29	0.0344827586206897	2.03448275862069	59	201	ATP5PB
