gene.symbol	gene.arm	arm.ngenes	arm.amp.freq	arm.amp.qvalue	arm.del.freq	arm.del.qvalue	peak.wide.boundary.hg19	peak.qvalue	peak.residual.qvalue	peak.cytoband	peak.oncogenes	peak.ngenes	peak.size	peak.gene.pos	gene.loc.hg19	focal.amp.high	focal.amp.low	focal.amp.high.freq	focal.amp.low.freq	focal.amp.max	focal.del.high	focal.del.low	focal.del.min	focal.del.high.freq	focal.del.low.freq	focal.cnv.exp.cor	focal.cnv.exp.cor.pvalue	focal.amphigh.exp.lfc	focal.amplow.exp.lfc	focal.amp.exp.lfc	nsamples.x	all.amp.high	all.amp.low	all.amp.high.freq	all.amp.low.freq	all.amp.max	all.del.high	all.del.low	all.del.high.freq	all.del.low.freq	all.del.min	all.cnv.exp.cor	all.cnv.exp.cor.pvalue	all.amphigh.exp.lfc	all.amplow.exp.lfc	all.amp.exp.lfc	nsamples.y	cancer.code	cancer.name
DTX3L	3q	733	0.21	1	0.27	0.999	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0.0222222222222222	0.568	0	2	-0.379	0	0.0222222222222222	-0.137771618924287	0.232135909218433	0	0	0	90	0	17	0	0.188888888888889	1.708	0	22	0	0.244444444444444	-1.031	0.479184674279592	1.03919218272984e-05	0	0.664185854654572	0.664185854654572	90	acc	Adrenocortical Carcinoma
DTX3L	3q	733	0.45	2.84e-14	0.13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	15	0.00245098039215686	0.0367647058823529	2.637	2	11	-0.785	0.00490196078431373	0.0269607843137255	0.00748711703680202	0.880303525468664	0	-0.128707144731345	0.0263969650959126	408	6	184	0.0147058823529412	0.450980392156863	2.637	1	21	0.00245098039215686	0.0514705882352941	-0.862	0.2168418804022	1.01575935707814e-05	0	0.286963902277675	0.315456141215804	408	blca	Bladder Urothelial Carcinoma
DTX3L	3q	733	0.21	1	0.13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	37	0.00185185185185185	0.0342592592592593	1.127	8	41	-1.128	0.00740740740740741	0.037962962962963	0.0962573115873352	0.00160359271784379	0	0.105883657617214	0.123988452205536	1080	8	221	0.00740740740740741	0.20462962962963	2.443	1	122	0.000925925925925926	0.112962962962963	-0.878	0.32393233447474	1.30688794311986e-27	0	0.38029559598756	0.387483590770141	1080	brca	 Breast Invasive Carcinoma
DTX3L	3q	733	0.59	0	0.26	0.0552	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8	0.0135593220338983	0.0271186440677966	1.278	0	4	-0.673	0	0.0135593220338983	0.123058978844927	0.0355700952311168	0	0	0.482990327860365	295	16	166	0.0542372881355932	0.56271186440678	2.654	0	9	0	0.0305084745762712	-0.751	0.48135554999546	2.42556030571411e-18	0.992490998455369	0.599766144268781	0.634675020196477	295	cesc	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma
DTX3L	3q	733	0.22	0.988	0.14	0.979	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	-0.391	0	0.0277777777777778	0.235933558944193	0.165963991926181	0	0	0	36	0	7	0	0.194444444444444	0.834	0	7	0	0.194444444444444	-0.828	0.494755133272398	0.00215871090778447	0	0	0	36	chol	Cholangiocarcinoma
DTX3L	3q	733	0.15	1	0.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0.00221729490022173	0.13	0	0	0	0	0	-0.00851930728239515	0.855875842207384	0	0	0	451	0	63	0	0.139689578713969	1.087	0	33	0	0.0731707317073171	-0.681	0.193365849818443	3.15871944874698e-05	0	0.205861476584874	0.205861476584874	451	coad	Colon Adenocarcinoma
DTX3L	3q	733	0.27	0.000435	0.11	0.985	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	-0.603	0.0208333333333333	0	-0.173731539968915	0.237632232972243	0	0	0	48	1	12	0.0208333333333333	0.25	0.873	1	3	0.0208333333333333	0.0625	-0.604	0.0740760975242981	0.616811434195205	0	0.13822797864389	0.145874120889473	48	dlbc	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
DTX3L	3q	733	0.46	0.00525	0.39	0.147	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	15	0.016304347826087	0.0815217391304348	1.604	1	8	-0.811	0.00543478260869565	0.0434782608695652	0.0464278733073572	0.559905970535572	0	-0.0948406349957303	-0.156359018825931	184	9	81	0.0489130434782609	0.440217391304348	2.971	1	19	0.00543478260869565	0.103260869565217	-0.921	0.464439584220213	6.15942668693681e-10	0	0.402691640520231	0.417288281493189	184	esca	Esophageal Carcinoma
DTX3L	3q	733	0.12	0.58	0.07	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0.00346620450606586	0	0.944	3	23	-1.041	0.00519930675909879	0.0398613518197574	0.127452269471842	0.125267633460724	0	0	0	577	2	60	0.00346620450606586	0.103986135181976	1.562	2	59	0.00346620450606586	0.102253032928943	-1.077	0.0615182917153788	0.460734416456867	0	-0.0146434085644485	-0.0146434085644485	577	gbm	Glioblastoma Multiforme
DTX3L	3q	733	0.5	0	0.35	1.64e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	10	0.0114942528735632	0.0191570881226054	1.347	0	6	-0.604	0	0.0114942528735632	0.0498026426376156	0.269246022604744	0	0.196184753306011	0.193151003573606	522	24	254	0.0459770114942529	0.486590038314176	2.745	0	30	0	0.0574712643678161	-0.668	0.260603485554591	4.11700617862208e-09	0.515638289944494	0.366836899331236	0.37994966555386	522	hnsc	Head and Neck Squamous Cell Carcinoma
